System,Dataset,Repeat,LR_MAPE,DL_MAPE,LR_MAE,DL_MAE,LR_RMSE,DL_RMSE,LR_R2,DL_R2
batlik,cubus.csv,2,0.03980190683896666,0.026651726278965497,0.24712501441401993,0.16696447928746544,0.34178608896172347,0.21987907325534073,0.9000423281412692,0.9586309866665772
batlik,cubus.csv,3,0.04030314256242855,0.02324843623445117,0.2487647377270942,0.1389944558011161,0.3365070632377494,0.1833067735274702,0.8979574375248094,0.9697204083745996
batlik,cubus.csv,4,0.039863493880302046,0.02217149395998684,0.24351075491061014,0.13626798099941678,0.32972156634346517,0.18700159849357967,0.9088416752250719,0.9706780894366243
batlik,cubus.csv,5,0.038914872207789726,0.02797402230770772,0.23643832889852975,0.175846113661925,0.3263745535608659,0.22869342639328158,0.9131541854874105,0.9573593639879685
batlik,cubus.csv,6,0.0388164190152621,0.02038763243328006,0.23729912751020374,0.12772307044929926,0.3265187614971273,0.1750410843532097,0.9034099749618892,0.9722415004179074
batlik,cubus.csv,7,0.038964022030995464,0.03395609219389484,0.24078661548770214,0.21329861058129204,0.32669469373243565,0.26773182808082957,0.9137920058468693,0.94210202347905
batlik,cubus.csv,8,0.03924898613565507,0.02695704482100885,0.24129598966523502,0.15993523309628171,0.3391019691316088,0.20169016838553158,0.9038613416928971,0.9659899797409922
batlik,cubus.csv,9,0.039457952372092625,0.027706619203192433,0.24372968650079685,0.17414266606171924,0.33475122254837536,0.23323163566244653,0.8984336639687567,0.9506962039535154
batlik,cubus.csv,10,0.03839852134531988,0.020195955108060597,0.2337884469399788,0.12680968413750332,0.31131537131709386,0.16673488074638515,0.9168991532273212,0.9761626898988971
batlik,flame.csv,1,0.031860240084061124,0.021598510094649484,0.05779722323369153,0.03900495517585014,0.07666953712227045,0.04968072651837524,0.9567041689731277,0.9818207369497489
batlik,flame.csv,2,0.03221665998982144,0.021695474304592857,0.058179519155152674,0.03927859373390676,0.07776199507479971,0.052599857826666464,0.9560449723297685,0.9798885719506143
batlik,flame.csv,3,0.0323334358272104,0.020379086120024006,0.05801792373026306,0.03628358266419835,0.07649246150880397,0.04706103112930752,0.9561792600225987,0.9834130967756902
