System,Dataset,Repeat,LR_MAPE,DL_MAPE,LR_MAE,DL_MAE,LR_RMSE,DL_RMSE,LR_R2,DL_R2
batlik,frisco.csv,2,0.05078659928222673,0.03459413836711806,0.24701564818488228,0.16323037826352646,0.3392808936837328,0.2115621478511965,0.866399968421278,0.948052615166687
batlik,frisco.csv,3,0.052314361759095616,0.036237427343036296,0.25275214414550884,0.17062065230475532,0.33492908214533496,0.22031571156381985,0.8590646110175696,0.9390174923654552
batlik,frisco.csv,4,0.05238449804945717,0.03358363626555863,0.25327086533971627,0.1573428255319595,0.34286625024155204,0.20024572968043444,0.8546563789009598,0.9504238237476619
batlik,frisco.csv,5,0.050195974468270114,0.03903136744427685,0.2437394033933869,0.1871035728520817,0.3258239543096015,0.24289863674283743,0.8728673127367378,0.929345250424706
batlik,frisco.csv,6,0.05061577744531603,0.03334297365321092,0.23964019723641694,0.15217752211623722,0.3170725583786476,0.19612189564873256,0.8704214791790186,0.9504244125614263
batlik,frisco.csv,7,0.052700482129750856,0.037843027925923214,0.2549319546481932,0.17953245227535564,0.3439182406946589,0.2300699657392322,0.8607046358862382,0.9376629713260267
batlik,frisco.csv,8,0.048685900287145666,0.03643471813570774,0.23964347534417088,0.17218087178137567,0.32354526144419266,0.21635519317838617,0.8706427036179926,0.9421563764741353
batlik,frisco.csv,9,0.049735718380041684,0.03461577536757729,0.24313384858568574,0.16443104442622924,0.33336455289111677,0.2151878806709066,0.858899277428671,0.9412069464592768
batlik,frisco.csv,10,0.05104061220822057,0.035140072644527134,0.2444484834789137,0.16546403472622234,0.32840189089569893,0.2117294954371614,0.8643893560631966,0.9436303672751114
batlik,jelly.csv,1,0.16685817873661593,0.05841521524983587,0.31700388264675233,0.17786913000047208,0.42899781778903884,0.5520345616057438,0.5854894437065259,0.313630515908063
batlik,jelly.csv,2,0.17248538828415105,0.05482136177686382,0.33018955518101717,0.174534857413835,0.45429605550396307,0.5377617768326568,0.5831162105095578,0.4158600137404235
batlik,jelly.csv,3,0.1736361776357982,0.055088876604941786,0.3243042586596903,0.1679650340312057,0.4347061686936954,0.531413549286146,0.5701197062225667,0.35757685760963875
batlik,jelly.csv,4,0.17006407260162704,0.06177033053233519,0.3309653313582731,0.19728239015572602,0.47343333194815446,0.5973742143150024,0.5816135021288231,0.33387927950563734
batlik,jelly.csv,5,0.17049589538083587,0.05010712525174715,0.3197169415593654,0.14631264230443372,0.4292728758188931,0.4509764214625094,0.5879054638495125,0.5451820117671236
batlik,jelly.csv,6,0.17282261288461165,0.030416766812016056,0.3099910986989788,0.07078869790666632,0.4076001921461707,0.18402622105895036,0.537060426521522,0.9056341267477861
batlik,jelly.csv,7,0.17408462852675274,0.05956147380780119,0.3307569893261749,0.19137727397183577,0.4516783021355753,0.5911633278871167,0.587118480869095,0.29273534032146487
batlik,jelly.csv,8,0.16320987629787045,0.06090449145276097,0.31320576837232417,0.18237721886071895,0.4290355313363567,0.5554624073536748,0.5942006414956067,0.31980383477600716
batlik,jelly.csv,9,0.16733849832134298,0.0649344486711886,0.33122999065081143,0.2026778659555647,0.46252572651170765,0.6035303496927679,0.5770284204352493,0.2798256857117828
batlik,jelly.csv,10,0.16750821935383892,0.058986753342249724,0.31862033101092574,0.1839030057191849,0.43992037928676586,0.5606989702381869,0.5925535493405052,0.3381159834473787
batlik,karte.csv,1,0.15167323066401517,0.027079347663950322,1.49344274992831,0.31863998704486424,1.9130179170550137,0.4056344059396354,0.7745482039487195,0.9898635660731954
batlik,karte.csv,2,0.15107462866383406,0.0262390672838592,1.5022676386481075,0.30234744244151646,1.8929286860060937,0.39053865998543547,0.7885749534930705,0.9910005494917667
batlik,karte.csv,3,0.1509273676416172,0.019785819008783217,1.500554045151226,0.2488659083843231,1.88126260060474,0.3455249742215524,0.7889324818107407,0.9928799761827781
batlik,karte.csv,4,0.15323429140906286,0.021200009943148756,1.5002407850427073,0.262054520116912,1.8559237589691633,0.3411005112616172,0.8011533715554877,0.9932831954766121
batlik,karte.csv,5,0.15257160145742835,0.021954245770054014,1.4910802107610186,0.25625694572925567,1.8852364924542877,0.32254717328592575,0.7870550664111274,0.9937666413372949
batlik,karte.csv,6,0.14964144679168426,0.042030453097417944,1.4893199656060359,0.47602764245536594,1.8548606625472792,0.6025585666312165,0.7924554968066155,0.9780978280468059
batlik,karte.csv,7,0.14834153083895604,0.025768401935606516,1.4791656714115675,0.3068110726939307,1.837385351235369,0.3920800765504959,0.8110724881954409,0.9913971122890376
batlik,karte.csv,8,0.14914606670586356,0.030722400569124286,1.4806294923238303,0.349066949751642,1.9341181078994907,0.4451947245629536,0.7746644538762888,0.9880611157151267
batlik,karte.csv,9,0.1479032265603167,0.03309098229571008,1.4945098978437028,0.3926317463649644,1.8760545108937783,0.49413215681532585,0.7957210896725035,0.9858284007932433
batlik,karte.csv,10,0.14702939797225964,0.028920084108616424,1.4610207255968133,0.34567413694328736,1.7824783667138933,0.4473964715800468,0.8155533171802416,0.9883799653505092
batlik,mandelbrot.csv,1,0.04779804020839064,0.019839047119445296,0.06295852141073285,0.025961287278268075,0.08551903258825509,0.034447796184264634,0.6870002839366013,0.9492143201423572
